"","slice","avgAC","subj","hemi","roi"
"178",12,34938.4419389205,126426,"R","SRLM"
"179",13,31727.5430989583,126426,"R","SRLM"
"180",14,31500.1474609375,126426,"R","SRLM"
"181",15,30804.4735863095,126426,"R","SRLM"
"182",16,30737.7115293561,126426,"R","SRLM"
"183",17,31862.6425030048,126426,"R","SRLM"
"184",18,29931.5112847222,126426,"R","SRLM"
"185",19,30709.326171875,126426,"R","SRLM"
"186",1,32741.1796875,130114,"L","CA1"
"187",2,31340.4506138393,130114,"L","CA1"
"188",3,40848.7804361979,130114,"L","CA1"
"189",4,49441.5953776042,130114,"L","CA1"
"190",5,54612.22734375,130114,"L","CA1"
"191",6,63387.441796875,130114,"L","CA1"
"192",7,54884.396875,130114,"L","CA1"
"193",8,57156.8057528409,130114,"L","CA1"
"194",9,62908.1935763889,130114,"L","CA1"
"195",10,57008.7607421875,130114,"L","CA1"
"196",11,61122.265625,130114,"L","CA1"
"197",12,58287.1414930556,130114,"L","CA1"
"198",13,41658.0553385417,130114,"L","CA1"
"199",14,36226.2952473958,130114,"L","CA1"
"200",15,34697.5851862981,130114,"L","CA1"
"201",16,32408.1320800781,130114,"L","CA1"
"202",17,34289.1739783654,130114,"L","CA1"
"203",18,28859.4966947115,130114,"L","CA1"
"204",19,31023.5350060096,130114,"L","CA1"
"205",20,35725.314765625,130114,"L","CA1"
"206",21,38922.7964154412,130114,"L","CA1"
"207",22,43470.2952223558,130114,"L","CA1"
"208",23,44558.646484375,130114,"L","CA1"
"209",1,52561.7646484375,130114,"L","CA4DG"
"210",2,84575.1494140625,130114,"L","CA4DG"
"211",3,72617.4921875,130114,"L","CA4DG"
"212",4,56231.1875,130114,"L","CA4DG"
"213",5,54977.06640625,130114,"L","CA4DG"
"214",6,42173.708984375,130114,"L","CA4DG"
"215",7,48313.265625,130114,"L","CA4DG"
"216",8,67453.625,130114,"L","CA4DG"
"217",9,67998.90625,130114,"L","CA4DG"
"218",10,52185.322265625,130114,"L","CA4DG"
"219",11,54937.732421875,130114,"L","CA4DG"
"220",12,33986.248828125,130114,"L","CA4DG"
"221",13,36754.63671875,130114,"L","CA4DG"
"222",14,46447.1740234375,130114,"L","CA4DG"
"223",15,40190.4501953125,130114,"L","CA4DG"
"224",16,53193.5111607143,130114,"L","CA4DG"
"225",17,54336.578125,130114,"L","CA4DG"
"226",1,23692.91796875,130114,"L","CA2CA3"
"227",2,29386.6044921875,130114,"L","CA2CA3"
"228",3,39046.943359375,130114,"L","CA2CA3"
"229",4,47257.5362215909,130114,"L","CA2CA3"
"230",5,63627.8134765625,130114,"L","CA2CA3"
"231",6,81878.6669921875,130114,"L","CA2CA3"
"232",7,52864.778125,130114,"L","CA2CA3"
"233",8,51448.2822265625,130114,"L","CA2CA3"
"234",9,43906.533203125,130114,"L","CA2CA3"
"235",10,57936.5559895833,130114,"L","CA2CA3"
"236",11,91563.484375,130114,"L","CA2CA3"
"237",12,73241.0286458333,130114,"L","CA2CA3"
"238",13,63861.6953125,130114,"L","CA2CA3"
"239",14,59833.0484375,130114,"L","CA2CA3"
"240",15,45205.2174479167,130114,"L","CA2CA3"
"241",16,49906.8264973958,130114,"L","CA2CA3"
"242",17,50346.2755301339,130114,"L","CA2CA3"
"243",18,55899.8215332031,130114,"L","CA2CA3"
"244",19,48817.6263950893,130114,"L","CA2CA3"
"245",20,63095.053125,130114,"L","CA2CA3"
"246",1,40812.337890625,130114,"L","subiculum"
"247",2,56627.0475260417,130114,"L","subiculum"
"248",3,76846.9631696429,130114,"L","subiculum"
"249",4,81126.3862304688,130114,"L","subiculum"
"250",5,64923.52734375,130114,"L","subiculum"
"251",6,60041.0184151786,130114,"L","subiculum"
"252",7,45249.5678710938,130114,"L","subiculum"
"253",8,61084.1533203125,130114,"L","subiculum"
"254",9,70578.1140625,130114,"L","subiculum"
"255",10,61043.5034179688,130114,"L","subiculum"
"256",11,43241.5197265625,130114,"L","subiculum"
"257",12,33327.87890625,130114,"L","subiculum"
"258",13,30643.4774305556,130114,"L","subiculum"
"259",14,37205.2281901042,130114,"L","subiculum"
"260",15,35129.577734375,130114,"L","subiculum"
"261",16,30561.5875,130114,"L","subiculum"
"262",17,28869.5625,130114,"L","subiculum"
"263",18,34916.564453125,130114,"L","subiculum"
"264",19,37081.1822916667,130114,"L","subiculum"
"265",20,45573.7930908203,130114,"L","subiculum"
"266",21,53667.9821289063,130114,"L","subiculum"
"267",22,50051.3828125,130114,"L","subiculum"
"268",1,45178.9877929688,130114,"L","SRLM"
"269",2,52606.65390625,130114,"L","SRLM"
"270",3,47447.8530273438,130114,"L","SRLM"
"271",4,60276.876953125,130114,"L","SRLM"
"272",5,59364.7114955357,130114,"L","SRLM"
"273",6,53053.9290364583,130114,"L","SRLM"
"274",7,54051.681640625,130114,"L","SRLM"
"275",8,54836.3626302083,130114,"L","SRLM"
"276",9,68480.791015625,130114,"L","SRLM"
"277",10,61330.7529296875,130114,"L","SRLM"
"278",11,45510.1712239583,130114,"L","SRLM"
"279",12,27741.4607979911,130114,"L","SRLM"
"280",13,32890.0630580357,130114,"L","SRLM"
"281",14,36969.6322265625,130114,"L","SRLM"
"282",15,37960.4348958333,130114,"L","SRLM"
"283",16,30385.4932391827,130114,"L","SRLM"
"284",17,36711.2524671053,130114,"L","SRLM"
"285",18,44587.9453735352,130114,"L","SRLM"
"286",19,42456.8779296875,130114,"L","SRLM"
"287",20,39877.8369140625,130114,"L","SRLM"
"288",1,48469.7021484375,130114,"R","CA1"
"289",2,46945.5099431818,130114,"R","CA1"
"290",3,52547.5633138021,130114,"R","CA1"
"291",4,45391.4235839844,130114,"R","CA1"
"292",5,53348.7524857955,130114,"R","CA1"
"293",6,64406.388671875,130114,"R","CA1"
"294",7,55210.224609375,130114,"R","CA1"
"295",8,61987.5412597656,130114,"R","CA1"
"296",9,49568.7062988281,130114,"R","CA1"
"297",10,55708.8765625,130114,"R","CA1"
"298",11,46471.6646205357,130114,"R","CA1"
"299",12,45450.4736328125,130114,"R","CA1"
"300",13,54302.5394176136,130114,"R","CA1"
"301",14,67534.525,130114,"R","CA1"
"302",15,67992.5643028846,130114,"R","CA1"
"303",16,59475.8713942308,130114,"R","CA1"
"304",17,55865.1037597656,130114,"R","CA1"
"305",18,70813.6879882812,130114,"R","CA1"
"306",19,64332.0656866776,130114,"R","CA1"
"307",20,53426.09375,130114,"R","CA1"
"308",21,49361.7865767045,130114,"R","CA1"
"309",1,50555.712890625,130114,"R","CA4DG"
"310",2,63442.1116071429,130114,"R","CA4DG"
"311",3,65842.9375,130114,"R","CA4DG"
"312",4,62931.1647135417,130114,"R","CA4DG"
"313",5,52812.425,130114,"R","CA4DG"
"314",6,51956.06484375,130114,"R","CA4DG"
"315",7,54722.587890625,130114,"R","CA4DG"
"316",8,49862.869140625,130114,"R","CA4DG"
"317",9,45242.021484375,130114,"R","CA4DG"
"318",10,63570.2548828125,130114,"R","CA4DG"
"319",11,50885.89453125,130114,"R","CA4DG"
"320",12,82779.2822265625,130114,"R","CA4DG"
"321",13,62252.404296875,130114,"R","CA4DG"
"322",14,78318.1102430556,130114,"R","CA4DG"
"323",15,73805.9150390625,130114,"R","CA4DG"
"324",16,63757.39453125,130114,"R","CA4DG"
"325",1,55765.33203125,130114,"R","CA2CA3"
"326",2,39854.24375,130114,"R","CA2CA3"
"327",3,46064.8361816406,130114,"R","CA2CA3"
"328",4,52851.513671875,130114,"R","CA2CA3"
"329",5,67711.14921875,130114,"R","CA2CA3"
"330",6,50425.0651041667,130114,"R","CA2CA3"
"331",7,43406.625,130114,"R","CA2CA3"
"332",8,41428.869140625,130114,"R","CA2CA3"
"333",9,44483.66796875,130114,"R","CA2CA3"
"334",10,44357.490234375,130114,"R","CA2CA3"
"335",11,52611.990234375,130114,"R","CA2CA3"
"336",12,60612.234375,130114,"R","CA2CA3"
"337",13,47489.5498046875,130114,"R","CA2CA3"
"338",14,55044.095703125,130114,"R","CA2CA3"
"339",15,63016.2393973214,130114,"R","CA2CA3"
"340",16,68769.9347426471,130114,"R","CA2CA3"
"341",17,71132.015625,130114,"R","CA2CA3"
"342",18,78378.1877790179,130114,"R","CA2CA3"
"343",19,80322.3125,130114,"R","CA2CA3"
"344",1,61431.2366071429,130114,"R","subiculum"
