"","slice","avgAC","subj","hemi","roi"
"170",7,59663.3572048611,130114,"R","CA4DG"
"171",8,59918.77578125,130114,"R","CA4DG"
"172",9,58476.76171875,130114,"R","CA4DG"
"173",1,69567.7890625,130114,"R","CA2CA3"
"174",2,67314.5450721154,130114,"R","CA2CA3"
"175",3,65075.9466145833,130114,"R","CA2CA3"
"176",4,57913.9588068182,130114,"R","CA2CA3"
"177",5,65328.3479567308,130114,"R","CA2CA3"
"178",6,62841.0134277344,130114,"R","CA2CA3"
"179",7,55321.498046875,130114,"R","CA2CA3"
"180",8,50198.349609375,130114,"R","CA2CA3"
"181",9,50908.899609375,130114,"R","CA2CA3"
"182",1,44495.3984375,130114,"R","subiculum"
"183",2,65958.9354166667,130114,"R","subiculum"
"184",3,66959.7156929348,130114,"R","subiculum"
"185",4,57489.7510127315,130114,"R","subiculum"
"186",5,60097.5344002016,130114,"R","subiculum"
"187",6,65815.888671875,130114,"R","subiculum"
"188",7,73707.1521484375,130114,"R","subiculum"
"189",8,91542.16015625,130114,"R","subiculum"
"190",1,77361.3100585938,130114,"R","SRLM"
"191",2,73868.761875,130114,"R","SRLM"
"192",3,67387.4185267857,130114,"R","SRLM"
"193",4,56574.9612379808,130114,"R","SRLM"
"194",5,57562.5985576923,130114,"R","SRLM"
"195",6,52860.7434895833,130114,"R","SRLM"
"196",7,54070.9487847222,130114,"R","SRLM"
"197",8,53534.6080729167,130114,"R","SRLM"
"198",9,56341.9790039062,130114,"R","SRLM"
"199",10,63662.8932291667,130114,"R","SRLM"
"200",1,57884.01796875,130518,"L","CA1"
"201",2,39586.583984375,130518,"L","CA1"
"202",3,38182.2208806818,130518,"L","CA1"
"203",4,43052.2143554688,130518,"L","CA1"
"204",5,32460.6770833333,130518,"L","CA1"
"205",6,41518.2721036585,130518,"L","CA1"
"206",7,35147.2982991536,130518,"L","CA1"
"207",8,37781.6629269622,130518,"L","CA1"
"208",9,40983.0576388889,130518,"L","CA1"
"209",10,32937.5527844551,130518,"L","CA1"
"210",11,37515.6334885817,130518,"L","CA1"
"211",12,39291.4011008523,130518,"L","CA1"
"212",1,24139.20703125,130518,"L","CA4DG"
"213",2,30957.1655273438,130518,"L","CA4DG"
"214",3,46302.1626674107,130518,"L","CA4DG"
"215",4,38930.5458984375,130518,"L","CA4DG"
"216",5,64958.6389322917,130518,"L","CA4DG"
"217",6,50695.639453125,130518,"L","CA4DG"
"218",7,40089.9287109375,130518,"L","CA4DG"
"219",8,74559.1848958333,130518,"L","CA4DG"
"220",1,44300.85703125,130518,"L","CA2CA3"
"221",2,55118.5475260417,130518,"L","CA2CA3"
"222",3,39686.0553385417,130518,"L","CA2CA3"
"223",4,50657.6276506696,130518,"L","CA2CA3"
"224",5,72272.232421875,130518,"L","CA2CA3"
"225",6,61854.5071149554,130518,"L","CA2CA3"
"226",7,64956.7927517361,130518,"L","CA2CA3"
"227",8,43549.2982788086,130518,"L","CA2CA3"
"228",9,38662.1067116477,130518,"L","CA2CA3"
"229",10,38713.9603271484,130518,"L","CA2CA3"
"230",11,45447.375,130518,"L","CA2CA3"
"231",1,61390.29453125,130518,"L","subiculum"
"232",2,46917.0623497596,130518,"L","subiculum"
"233",3,47246.3348335598,130518,"L","subiculum"
"234",4,56360.2702934451,130518,"L","subiculum"
"235",5,47425.1560267857,130518,"L","subiculum"
"236",6,48518.5101023707,130518,"L","subiculum"
"237",7,49044.8734714674,130518,"L","subiculum"
"238",8,54673.5296875,130518,"L","subiculum"
"239",1,48800.0400390625,130518,"L","SRLM"
"240",2,61508.138671875,130518,"L","SRLM"
"241",3,39922.3700086806,130518,"L","SRLM"
"242",4,50669.7283761161,130518,"L","SRLM"
"243",5,42249.7642144097,130518,"L","SRLM"
"244",6,38235.892578125,130518,"L","SRLM"
"245",7,34764.1224888393,130518,"L","SRLM"
"246",8,44529.9155421402,130518,"L","SRLM"
"247",9,35483.278125,130518,"L","SRLM"
"248",10,37461.3405633224,130518,"L","SRLM"
"249",11,37961.9779575893,130518,"L","SRLM"
"250",1,46645.7647494612,130518,"R","CA1"
"251",2,42371.2691169508,130518,"R","CA1"
"252",3,39936.2399773849,130518,"R","CA1"
"253",4,44149.5550170898,130518,"R","CA1"
"254",5,49309.1006086483,130518,"R","CA1"
"255",6,41840.3088485054,130518,"R","CA1"
"256",7,41187.3161272321,130518,"R","CA1"
"257",8,39291.794885706,130518,"R","CA1"
"258",9,37204.1155450994,130518,"R","CA1"
"259",10,40783.5809151786,130518,"R","CA1"
"260",11,43421.9993489583,130518,"R","CA1"
"261",12,48426.4654296875,130518,"R","CA1"
"262",13,41868.04296875,130518,"R","CA1"
"263",1,50187.1397879464,130518,"R","CA4DG"
"264",2,50453.122109375,130518,"R","CA4DG"
"265",3,59079.3159598214,130518,"R","CA4DG"
"266",4,45921.8728298611,130518,"R","CA4DG"
"267",5,42490.2389914773,130518,"R","CA4DG"
"268",6,68883.087890625,130518,"R","CA4DG"
"269",7,38923.23828125,130518,"R","CA4DG"
"270",1,30640.4775390625,130518,"R","CA2CA3"
"271",2,45369.8198242188,130518,"R","CA2CA3"
"272",3,59966.5890213816,130518,"R","CA2CA3"
"273",4,59472.7412683823,130518,"R","CA2CA3"
"274",5,57778.5300292969,130518,"R","CA2CA3"
"275",6,59810.1834542411,130518,"R","CA2CA3"
"276",7,51337.7916015625,130518,"R","CA2CA3"
"277",8,57337.5575284091,130518,"R","CA2CA3"
"278",9,88824.4499289773,130518,"R","CA2CA3"
"279",10,84789.5458096591,130518,"R","CA2CA3"
"280",11,47318.021484375,130518,"R","CA2CA3"
"281",12,35186.4931640625,130518,"R","CA2CA3"
"282",1,59803.220703125,130518,"R","subiculum"
"283",2,54664.1690538194,130518,"R","subiculum"
"284",3,63469.8801800272,130518,"R","subiculum"
"285",4,56527.0401710304,130518,"R","subiculum"
"286",5,66804.0935776654,130518,"R","subiculum"
"287",6,67501.7056107955,130518,"R","subiculum"
"288",7,50754.479296875,130518,"R","subiculum"
"289",8,49364.0875,130518,"R","subiculum"
"290",1,44325.8000488281,130518,"R","SRLM"
"291",2,46926.6010298295,130518,"R","SRLM"
"292",3,41096.2210648148,130518,"R","SRLM"
"293",4,54407.931640625,130518,"R","SRLM"
"294",5,64161.0350889009,130518,"R","SRLM"
"295",6,59733.7654947917,130518,"R","SRLM"
"296",7,59413.5603298611,130518,"R","SRLM"
"297",8,73746.1213727679,130518,"R","SRLM"
"298",9,49986.2267795139,130518,"R","SRLM"
"299",10,52894.6657986111,130518,"R","SRLM"
"300",11,41062.927734375,130518,"R","SRLM"
"301",1,27179.3798828125,134627,"L","CA1"
"302",2,34047.8797433036,134627,"L","CA1"
"303",3,40999.631640625,134627,"L","CA1"
"304",4,36021.7783954327,134627,"L","CA1"
"305",5,38818.88671875,134627,"L","CA1"
"306",6,37351.2176339286,134627,"L","CA1"
"307",7,34362.1630522629,134627,"L","CA1"
"308",8,39102.7776007401,134627,"L","CA1"
"309",9,33798.2544685133,134627,"L","CA1"
"310",10,37691.2392578125,134627,"L","CA1"
"311",11,36952.564453125,134627,"L","CA1"
"312",12,41031.7822753906,134627,"L","CA1"
"313",1,141742.677083333,134627,"L","CA4DG"
"314",2,71999.059765625,134627,"L","CA4DG"
"315",3,59965.0416992188,134627,"L","CA4DG"
"316",4,48778.2026909722,134627,"L","CA4DG"
"317",5,43308.3012695312,134627,"L","CA4DG"
"318",6,35715.7936006434,134627,"L","CA4DG"
"319",7,30729.9680606618,134627,"L","CA4DG"
"320",8,35566.50390625,134627,"L","CA4DG"
"321",1,77866.0390625,134627,"L","CA2CA3"
"322",2,54250.0052083333,134627,"L","CA2CA3"
"323",3,76734.9040178571,134627,"L","CA2CA3"
"324",4,39710.3435058594,134627,"L","CA2CA3"
"325",5,40902.3754507212,134627,"L","CA2CA3"
"326",6,48804.78359375,134627,"L","CA2CA3"
"327",7,43886.6822916667,134627,"L","CA2CA3"
"328",8,44837.2240668403,134627,"L","CA2CA3"
"329",9,50796.544453125,134627,"L","CA2CA3"
"330",10,59781.1560058594,134627,"L","CA2CA3"
"331",11,73244.271484375,134627,"L","CA2CA3"
"332",12,37848.1236979167,134627,"L","CA2CA3"
"333",1,55924.0453125,134627,"L","subiculum"
"334",2,56835.2471590909,134627,"L","subiculum"
"335",3,46445.3087086397,134627,"L","subiculum"
"336",4,52539.1337553879,134627,"L","subiculum"
"337",5,68113.5748291016,134627,"L","subiculum"
"338",6,71320.3651670259,134627,"L","subiculum"
"339",7,51531.2503396739,134627,"L","subiculum"
"340",8,45812.8743489583,134627,"L","subiculum"
"341",1,63966.5772879464,134627,"L","SRLM"
"342",2,45679.9493815104,134627,"L","SRLM"
